Sr no	Locus name	Minimum	Maximum	Product	Chromosome	Physical Map Position	Component SSRs	Overlaps	Duplicates
47	SB0042	1201412	1201710	298	1	1.2014			
48	SB0043	1205823	1205987	164	1	1.2058			
49	SB0044	1214139	1214364	225	1	1.2141			
50	Xiabtp186	1275713	1275822	109	1	1.2757			
51	SB0045	1278164	1278362	198	1	1.2782			
52	Xiabtp342	1313238	1313425	187	1	1.3132			
53	SB0046	1348226	1348480	254	1	1.3482			
54	SB0047	1354410	1354702	292	1	1.3544			
55	SB0048	1368230	1368385	155	1	1.3682			
56	SB0049	1415234	1415383	149	1	1.4152			
57	SB0051	1562353	1562586	233	1	1.5624			
58	SB0052	1565563	1565826	263	1	1.5656			
59	SB0053	1642024	1642295	271	1	1.6420			
60	SB0054	1769792	1770090	298	1	1.7698			
61	SB0055	1806766	1806968	202	1	1.8068			
62	Xisep0338	1819676	1819877	201	1	1.8197			
63	SB0056	1906607	1906905	298	1	1.9066			
64	SB0057	1912802	1913045	243	1	1.9128			
65	SB0058	1937362	1937606	244	1	1.9374			
66	SB0059	1939844	1940078	234	1	1.9398			
67	SB0060	1943180	1943373	193	1	1.9432			
68	Xisep0346	1991943	1992147	204	1	1.9919			
69	SB0061	2015160	2015376	216	1	2.0152			
70	SB0062	2042313	2042454	141	1	2.0423			
71	SB0063	2081953	2082210	257	1	2.0820			
72	SB0064	2087470	2087710	240	1	2.0875			
73	SB0065	2127988	2128254	266	1	2.1280			
74	SB0066	2155334	2155519	185	1	2.1553			
75	Xisep0341	2161305	2161528	223	1	2.1613			
76	SB0067	2162156	2162398	242	1	2.1622			
77	Xiabtp352	2244278	2244398	120	1	2.2443			
78	SB0068	2305564	2305845	281	1	2.3056			
79	Xisep0335	2319920	2320119	199	1	2.3199			
80	SB0069	2375007	2375278	271	1	2.3750			
81	SB0070	2393488	2393761	273	1	2.3935			
82	SB0071	2400361	2400503	142	1	2.4004			
83	SB0072	2400745	2401030	285	1	2.4007			
84	SB0073	2426280	2426578	298	1	2.4263			
85	SB0074	2432531	2432783	252	1	2.4325			
86	SB0076	2549689	2549977	288	1	2.5497			
87	Xiabtp414	2584517	2584735	218	1	2.5845			
88	SB0077	2599347	2599520	173	1	2.5993			
89	SB0078	2602041	2602312	271	1	2.6020			
90	SB0079	2629052	2629276	224	1	2.6291			
91	Xiabtp404	2731201	2731407	206	1	2.7312		Overlap with SB0080	
92	SB0080	2731232	2731466	234	1	2.7312		Overlap with Xiabtp404	
93	SB0081	2849230	2849527	297	1	2.8492			
94	SB0082	2864767	2865059	292	1	2.8648			
95	SB0084	2871611	2871804	193	1	2.8716			
96	SB0085	2969095	2969391	296	1	2.9691			
97	SB0086	3045271	3045497	226	1	3.0453			
98	Xcup01	3081424	3081621	197	1	3.0814			
99	SB0087	3211290	3211463	173	1	3.2113			
100	SB0088	3223849	3224098	249	1	3.2238			
101	SB0089	3228810	3228988	178	1	3.2288			
102	SB0090	3274435	3274719	284	1	3.2744			
103	Xiabtp066	3296749	3296900	151	1	3.2967			
104	SB0093	3351874	3352116	242	1	3.3519			
105	SB0094	3355660	3355943	283	1	3.3557			
106	SB0095	3458902	3459097	195	1	3.4589			
107	SB0096	3462849	3463046	197	1	3.4628			
108	Xisep0838	3571453	3571632	179	1	3.5715			
109	SB0097	3571673	3571945	272	1	3.5717			
110	SB0098	3581514	3581800	286	1	3.5815	2 SSRs including that detected by Xiabtp303	Overlap with Xiabtp303	
111	Xiabtp303	3581623	3581811	188	1	3.5816	SSR segment included in SB0098	Overlap with SB0098	
112	SB0099	3685997	3686241	244	1	3.6860			
113	SB0100	3698487	3698682	195	1	3.6985			
114	SB0101	3751482	3751781	299	1	3.7515			
115	SB0102	3753672	3753956	284	1	3.7537			
116	Xiabtp514	3817836	3818074	238	1	3.8178			
117	SB0103	3844513	3844707	194	1	3.8445			
118	SB0104	3932541	3932817	276	1	3.9325			
119	SB0105	3957037	3957233	196	1	3.9570			
120	SB0106	3965787	3966053	266	1	3.9658			
121	SB0107	3982066	3982276	210	1	3.9821			
122	SB0108	4064333	4064621	288	1	4.0643			
123	SB0109	4082765	4083032	267	1	4.0828			
124	SB0110	4199462	4199693	231	1	4.1995			
125	>Bx1	4247467	4247735	268	1	4.2475			
126	SB0111	4262032	4262250	218	1	4.2620			
127	SB0112	4291803	4292011	208	1	4.2918			
128	SB0113	4297419	4297629	210	1	4.2974			
129	SB0114	4362464	4362598	134	1	4.3625			
130	SB0115	4416419	4416670	251	1	4.4164			
131	Xisep0839	4438274	4438466	192	1	4.4383			
132	SB0116	4496635	4496796	161	1	4.4966			
133	SB0117	4497309	4497599	290	1	4.4973			
134	SB0118	4516440	4516655	215	1	4.5164			
135	SB0119	4560336	4560621	285	1	4.5603			
136	SB0120	4616204	4616472	268	1	4.6162			
137	SB0121	4661874	4662037	163	1	4.6619			
138	SB0122	4669155	4669390	235	1	4.6692			
139	SB0123	4679431	4679594	163	1	4.6794			
140	SB0124	4763221	4763396	175	1	4.7632			
141	Xisep0337	4880126	4880331	205	1	4.8801			
142	SB0125	5073999	5074277	278	1	5.0740			
143	Xiabtp037	5082071	5082253	182	1	5.0821			
144	SB0126	5112211	5112443	232	1	5.1122			
145	SB0127	5160491	5160772	281	1	5.1605			
146	SB0128	5223494	5223741	247	1	5.2235			
147	SB0129	5230687	5230823	136	1	5.2307			
148	Xisep0343	5238615	5238824	209	1	5.2386			
149	SB0130	5246566	5246863	297	1	5.2466			
150	SB0131	5294133	5294406	273	1	5.2941			
151	SB0132	5361664	5361872	208	1	5.3617			
152	Xisep0949	5372976	5373075	99	1	5.3730	SSR segment included in Xiabtp255	Overlap with Xiabtp255	
153	Xiabtp255	5372979	5373248	269	1	5.3730	2 SSRs including that detected by Xisep0949	Overlap with Xisep0949	
154	SB0133	5419945	5420219	274	1	5.4199			
155	SB0134	5423158	5423412	254	1	5.4232			
156	Xgap256	5430559	5430727	168	1	5.4306			
157	SB0136	5542013	5542276	263	1	5.5420			
158	SB0137	5573707	5573978	271	1	5.5737			
159	SB0138	5645327	5645543	216	1	5.6453			
160	SB0139	5725868	5726165	297	1	5.7259			
161	SB0140	5794709	5794867	158	1	5.7947			
162	SB0141	5810540	5810654	114	1	5.8105			
163	SB0142	5923002	5923153	151	1	5.9230			
164	SB0143	5966315	5966496	181	1	5.9663			
165	SB0144	6064665	6064844	179	1	6.0647			
166	SB0145	6090467	6090747	280	1	6.0905			
167	SB0146	6098765	6099039	274	1	6.0988			
168	SB0147	6170048	6170310	262	1	6.1700			
169	Xisep0350	6266122	6266314	192	1	6.2661			
170	SB0150	6315135	6315301	166	1	6.3151			
171	SB0151	6378406	6378623	217	1	6.3784			
172	SB0153	6415849	6416146	297	1	6.4158			
173	Xisep0336	6489527	6489728	201	1	6.4895			
174	SB0154	6526938	6527204	266	1	6.5269			
175	Xiabtp278	6545747	6545974	227	1	6.5457			
176	SB0156	6563292	6563558	266	1	6.5633			
177	SB0157	6694378	6694557	179	1	6.6944			
178	SB0158	6700365	6700631	266	1	6.7004	2 SSRs including that detected by Xtxp071, Xtxp079 and Xtxp213	Overlap with Xtxp071, Xtxp079 andXtxp213	
179	Xtxp071(Mads)	6700440	6700641	201	1	6.7004	SSR segment included in SB0158	Overlap with SB0158, Xtxp079 and Xtxp213	
180	Xtxp079(Mads)	6700453	6700630	177	1	6.7005	SSR segment included in SB0158	Overlap with SB0158, Xtxp071 and Xtxp213	
181	Xtxp213	6700465	6700631	166	1	6.7005	SSR segment included in SB0158	Overlap with SB0158, Xtxp071 and Xtxp079	
182	>HvVRN-H	6714684	6714864	180	1	6.7147			
183	>AsVRN1	6714792	6714868	76	1	6.7148			
184	>SbPhyC	6765395	6767757	2362	1	6.7654			
185	Xisep0322	6789178	6789559	381	1	6.7892	2 SSRs including that detected by Xisep0327	Overlap with Xisep0327	
186	Xisep0327	6789341	6789535	194	1	6.7893	SSR segment included in Xisep0322	Overlap with Xisep0322	
187	SB0159	6797489	6797775	286	1	6.7975			
188	SB0160	6840898	6841148	250	1	6.8409			
189	SRSC3_007	6900130	6901884	1754	1	6.9001			
190	SB0161	6905244	6905462	218	1	6.9052			
191	SB0162	6915442	6915699	257	1	6.9154			
192	Xiabtp288	6957852	6958066	214	1	6.9579			
193	Xtxp350	7020839	7021128	289	1	7.0208		Overlap with Xtxp325(Kaf)	
194	Xtxp325(Kaf)	7020894	7021141	247	1	7.0209		Overlap with Xtxp350	
195	SB0163	7024027	7024343	316	1	7.0240			
196	SB0164	7055877	7056171	294	1	7.0559	2 SSRs including that detected by Xiabtp311	Overlap with Xiabtp311	
197	Xiabtp311	7056102	7056218	116	1	7.0561	SSR segment included in SB0164	Overlap with SB0164	
198	SB0165	7056719	7056996	277	1	7.0567			
199	SRSC3_010	7074823	7075668	845	1	7.0748			
200	SB0166	7193888	7194125	237	1	7.1939			
201	SB0167	7222470	7222733	263	1	7.2225			
202	SB0168	7238291	7238446	155	1	7.2383			
203	SB0169	7272575	7272677	102	1	7.2726			
204	SB0170	7286581	7286725	144	1	7.2866			
205	SB0171	7286987	7287118	131	1	7.2870			
206	Xisep0340	7321393	7321573	180	1	7.3214			
207	Xiabtp409	7348286	7348386	100	1	7.3483			
208	Xcup06	7355583	7355785	202	1	7.3556			
209	SB0172	7361090	7361381	291	1	7.3611			
210	SB0173	7391752	7391971	219	1	7.3918			
211	SB0174	7425801	7425913	112	1	7.4258			
212	SB0175	7451619	7451812	193	1	7.4516			
213	>Sb_adh1	7542593	7557380	14787	1	7.5426			
214	SB0176	7600890	7601009	119	1	7.6009			
215	SB0177	7616684	7616835	151	1	7.6167			
216	Xiabtp177	7620219	7620403	184	1	7.6202			
217	Xcup08	7706970	7707090	120	1	7.7070			
218	SB0179	7811816	7812028	212	1	7.8118			
219	Xcup27	7858210	7858398	188	1	7.8582			
220	SB0180	7869107	7869378	271	1	7.8691			
221	SB0181	7935400	7935603	203	1	7.9354			
222	Xtxp523	8017124	8017288	164	1	8.0171			
223	SB0182	8041384	8041520	136	1	8.0414			
224	SB0183	8050827	8051110	283	1	8.0508			
225	SB0184	8058750	8058947	197	1	8.0588			
226	SB0186	8153641	8153821	180	1	8.1536			
227	SB0187	8161126	8161290	164	1	8.1611			
228	SB0188	8241506	8241723	217	1	8.2415			
229	SB0189	8267536	8267770	234	1	8.2675			
230	SB0190	8302334	8302506	172	1	8.3023			
231	SB0191	8369811	8369983	172	1	8.3698			
232	SB0193	8544836	8545122	286	1	8.5448		Overlap with Xiabtp485	
233	Xiabtp485	8544953	8545220	267	1	8.5450		Overlap with SB0193	
234	SB0194	8545565	8545849	284	1	8.5456			
235	SB0195	8567536	8567669	133	1	8.5675			
236	XmSbCIR347	8602247	8602364	117	1	8.6022			
237	SB0196	8605864	8606099	235	1	8.6059			
238	XmSbCIR268	8655306	8655507	201	1	8.6553			
239	SB0197	8658001	8658241	240	1	8.6580			
240	SB0198	8665936	8666211	275	1	8.6659			
241	SB4019	8697958	8698167	209	1	8.6980			
242	>SbPhyA	8754872	8756981	2109	1	8.7549			
243	SB0199	8820243	8820503	260	1	8.8202			
244	SB0200	8908348	8908447	99	1	8.9083			
245	SB0201	8924335	8924544	209	1	8.9243			
246	SRSC3_012	8980277	8980709	432	1	8.9803			
247	SB0202	9025133	9025416	283	1	9.0251			
248	SB0203	9048000	9048183	183	1	9.0480		Overlap with Xtxp302	Similar to Xtxp302
249	Xtxp302	9048006	9048185	179	1	9.0480		Overlap with SB0203	Similar to SB0203
250	SB0204	9056836	9057034	198	1	9.0568			
251	SRSC1_005	9058585	9060227	1642	1	9.0586			
252	SB0205	9244404	9244640	236	1	9.2444			
253	SB0206	9260508	9260660	152	1	9.2605			
254	SB0207	9281642	9281934	292	1	9.2816			
255	SB0208	9314553	9314762	209	1	9.3146			
256	SB0209	9353641	9353797	156	1	9.3536			
257	SB0210	9416737	9416972	235	1	9.4167			
258	SB0211	9422403	9422656	253	1	9.4224			
259	SB0212	9507323	9507486	163	1	9.5073	SSR segment included in Xtxp482	Overlap with Xtxp482	
260	Xtxp482	9507370	9507603	233	1	9.5074	2 SSRs including that detected by SB0212	Overlap with SB0212	
261	SB0213	9523449	9523567	118	1	9.5234			
262	SB0215	9608760	9608988	228	1	9.6088			
263	XmSbCIR242	9660215	9660315	100	1	9.6602			
264	SB0216	9691070	9691368	298	1	9.6911			
265	SB0217	9692589	9692730	141	1	9.6926			
266	SB0218	9695099	9695259	160	1	9.6951			
267	SB0219	9715370	9715501	131	1	9.7154			
268	SB0220	9822400	9822698	298	1	9.8224			
269	SB0221	9855269	9855394	125	1	9.8553			
270	SB0222	9916732	9916887	155	1	9.9167			
271	SB0223	9953206	9953482	276	1	9.9532			
272	SB0224	10025431	10025661	230	1	10.0254			
273	SB4877	10046493	10046742	249	1	10.0465			
274	SB0225	10062958	10063127	169	1	10.0630			
275	SB0226	10180671	10180820	149	1	10.1807			
276	SB0227	10198387	10198595	208	1	10.1984			
277	SB0228	10202089	10202317	228	1	10.2021			
278	SB0229	10204625	10204818	193	1	10.2046			
279	SB0230	10219084	10219280	196	1	10.2191			
280	SB0231	10228925	10229075	150	1	10.2289			
281	SB0232	10249007	10249269	262	1	10.2490			
282	SB0234	10486744	10487008	264	1	10.4867			
283	XmSbCIR228	10489883	10489990	107	1	10.4899			
284	SB0235	10500549	10500828	279	1	10.5005			
285	SB0236	10583928	10584156	228	1	10.5839			
286	Xisep0339	10630021	10630218	197	1	10.6300	SSR segment included in SB0237	Overlap with SB0237	
287	SB0237	10630052	10630292	240	1	10.6301	2 SSRs including that detected by Xisep0339	Overlap with Xisep0339	
288	SB0239	10903336	10903520	184	1	10.9033			
289	SB0240	11082364	11082568	204	1	11.0824			
290	Xiabtp155	11109560	11109803	243	1	11.1096		Overlap with SB0241	
291	SB0241	11109562	11109858	296	1	11.1096		Overlap with Xiabtp155	
292	SB0242	11211964	11212263	299	1	11.2120			
293	SB0243	11214386	11214564	178	1	11.2144			
294	SB0244	11295827	11296043	216	1	11.2958			
295	Xisep0330	11362701	11363022	321	1	11.3627			
296	SB0245	11387572	11387711	139	1	11.3876			
297	SB0246	11414307	11414564	257	1	11.4143			
298	SB0247	11415542	11415824	282	1	11.4155			
299	SB0248	11438278	11438571	293	1	11.4383			
300	Xiabtp413	11537581	11537781	200	1	11.5376			
301	SB0249	11633552	11633825	273	1	11.6336			
302	SB0250	11719138	11719393	255	1	11.7191			
303	SB0251	11776332	11776630	298	1	11.7763			
304	SB0252	11776792	11777078	286	1	11.7768			
305	SB0253	11843806	11844033	227	1	11.8438			
306	SB3431	11869736	11869937	201	1	11.8697			
307	SB0255	11921839	11922104	265	1	11.9218			
308	SB0257	11930429	11930694	265	1	11.9304			
309	SB0258	11943960	11944153	193	1	11.9440			
310	SB0259	12044034	12044173	139	1	12.0440			
311	SB0260	12156770	12156946	176	1	12.1568			
312	Xisep0728	12174784	12174972	188	1	12.1748			
313	SB0261	12199572	12199776	204	1	12.1996			
314	SB0262	12200388	12200554	166	1	12.2004			
315	SB0263	12264123	12264278	155	1	12.2641			
316	SB0264	12274260	12274498	238	1	12.2743			
317	SB0265	12291392	12291629	237	1	12.2914			
318	SB0267	12369597	12369714	117	1	12.3696			
319	SB0269	12379405	12379661	256	1	12.3794			
320	SB0270	12401695	12401932	237	1	12.4017			
321	SB0271	12440187	12440413	226	1	12.4402			
322	SB0272	12453384	12453660	276	1	12.4534			
323	SRSC3_008	12465068	12465352	284	1	12.4651			
324	SB0273	12569445	12569697	252	1	12.5694			
325	SB0274	12576235	12576382	147	1	12.5762			
326	SB0275	12602225	12602490	265	1	12.6022			
327	SB0276	12721041	12721200	159	1	12.7210		Overlap with Xiabtp501	
328	Xiabtp501	12721078	12721200	122	1	12.7211		Overlap with SB0276	
329	SB0277	12732637	12732866	229	1	12.7326			
330	SB0278	12755150	12755405	255	1	12.7552			
331	SB0279	12771295	12771580	285	1	12.7713			
332	SB0280	12802484	12802716	232	1	12.8025			
333	SB0281	12844605	12844817	212	1	12.8446			
334	SB0282	12854436	12854676	240	1	12.8544			
335	SB0283	12953573	12953824	251	1	12.9536			
336	SB0284	12989232	12989524	292	1	12.9892			
337	SB0285	13039592	13039890	298	1	13.0396			
338	SB0286	13053639	13053772	133	1	13.0536			
339	SB0287	13061201	13061368	167	1	13.0612			
340	SB0288	13091801	13092062	261	1	13.0918			
341	SB0289	13123444	13123735	291	1	13.1234			
342	SB0149	13134966	13135265	299	1	13.1350			
343	SB0290	13176717	13176825	108	1	13.1767			
344	SB0291	13179760	13180016	256	1	13.1798			
345	SB0292	13257250	13257459	209	1	13.2573			
346	SB0294	13346922	13347181	259	1	13.3469			
347	SB0295	13379929	13380182	253	1	13.3799			
348	SB0296	13471061	13471342	281	1	13.4711			
349	SB0297	13494612	13494877	265	1	13.4946			
350	SB0298	13526195	13526355	160	1	13.5262			
351	Xcup33	13557712	13557979	267	1	13.5577			
352	SB0299	13609841	13610107	266	1	13.6098			
353	SB0300	13613746	13613956	210	1	13.6137			
354	SB0301	13616083	13616326	243	1	13.6161			
355	SB0302	13623377	13623642	265	1	13.6234			
356	SB0304	13783068	13783311	243	1	13.7831			
357	SB0305	13841882	13842118	236	1	13.8419			
358	SB0306	13857359	13857634	275	1	13.8574			
359	SB0307	13859092	13859338	246	1	13.8591			
360	SB0308	13911000	13911207	207	1	13.9110			
361	Xcup24	13956716	13956931	215	1	13.9567			
362	SB0309	13968206	13968413	207	1	13.9682			
363	SB0310	14045871	14046154	283	1	14.0459			
364	SB0311	14099977	14100120	143	1	14.1000	SSR segment included in Xiabtp457	Overlap with Xiabtp457	
365	Xiabtp457	14099980	14100204	224	1	14.1000	2 SSRs including that detected by SB0311	Overlap with SB0311	
366	SB0312	14204324	14204600	276	1	14.2043			
367	SB0313	14246977	14247258	281	1	14.2470			
368	Xiabtp445	14253186	14253388	202	1	14.2532	2 SSRs including that detected by SB0314	Overlap with SB0314	
369	SB0314	14253188	14253338	150	1	14.2532	SSR segment included in Xiabtp445	Overlap with Xiabtp445	
370	SB0315	14261348	14261620	272	1	14.2613			
371	SB0316	14262847	14263139	292	1	14.2628			
372	SB0317	14302192	14302439	247	1	14.3022			
373	SB0318	14378715	14378954	239	1	14.3787			
374	SB0319	14447292	14447568	276	1	14.4473			
375	SB0320	14448615	14448843	228	1	14.4486			
376	SB0321	14449636	14449915	279	1	14.4496			
377	SB0322	14634051	14634348	297	1	14.6341		Overlap with Xiabtp221	
378	Xiabtp221	14634214	14634489	275	1	14.6342		Overlap with SB0322	
379	SB0323	14671935	14672232	297	1	14.6719			
380	SB0324	14762331	14762468	137	1	14.7623			
381	SB0325	14806090	14806392	302	1	14.8061			
382	Xiabtp355	14886099	14886408	309	1	14.8861			
383	SRSC3_004	15042663	15043211	548	1	15.0427			
384	SB0326	15186782	15186940	158	1	15.1868			
385	SB0327	15219312	15219561	249	1	15.2193		Overlap with Xcup73	
386	Xcup73	15219370	15219573	203	1	15.2194		Overlap with SB0327	
387	SB0328	15252225	15252485	260	1	15.2522			
388	SB0329	15308264	15308536	272	1	15.3083			
389	SB0331	15524323	15524567	244	1	15.5243			
390	SB0332	15603085	15603372	287	1	15.6031			
391	SB0333	15641171	15641384	213	1	15.6412			
392	SB0334	15642747	15643044	297	1	15.6427			
393	SB0335	15677195	15677392	197	1	15.6772			
394	SB0336	15741790	15742033	243	1	15.7418			
395	SB0337	15742664	15742855	191	1	15.7427			
396	SB0338	15869601	15869842	241	1	15.8696			
397	SB3457	16030878	16031169	291	1	16.0309			
398	Xcup25	16685812	16685923	111	1	16.6858			
399	SB0340	16686841	16687018	177	1	16.6868			
400	SB0341	16714370	16714569	199	1	16.7144			
401	SB0342	16742496	16742665	169	1	16.7425			
402	SB0343	16772104	16772383	279	1	16.7721			
403	SB0344	16790364	16790627	263	1	16.7904			
404	Xiabtp358	16805149	16805398	249	1	16.8051		Overlap with SB0345	Similar to SB0345
405	SB0345	16805158	16805396	238	1	16.8052		Overlap with Xiabtp358	Similar to Xiabtp358
406	SB0346	16836063	16836185	122	1	16.8361			
407	SB0348	17194743	17194972	229	1	17.1947			
408	Xisep1033	17255694	17255920	226	1	17.2557			
409	SB0349	17283319	17283607	288	1	17.2833			
410	SB0350	17315150	17315337	187	1	17.3152			
411	SB0351	17404321	17404608	287	1	17.4043			
412	SB0352	17506360	17506501	141	1	17.5064			
413	SB0353	17516578	17516868	290	1	17.5166			
414	SB0354	17606664	17606955	291	1	17.6067			
415	SB0356	17653322	17653558	236	1	17.6533			
416	SB0357	17657556	17657770	214	1	17.6576			
417	SB0358	17779147	17779370	223	1	17.7791			
418	SB0359	17819989	17820153	164	1	17.8200			
419	SB0360	17869343	17869575	232	1	17.8693			
420	PRSC10_069	17873749	17874475	726	1	17.8737			
421	SB0361	17919132	17919245	113	1	17.9191			
422	SRSC10_022	17991728	17992364	636	1	17.9917			
423	SB0362	18025503	18025678	175	1	18.0255			
424	SB0363	18084457	18084590	133	1	18.0845			
425	SB0364	18119693	18119989	296	1	18.1197			
426	SB0365	18130628	18130912	284	1	18.1306			
427	SB0366	18143471	18143718	247	1	18.1435			
428	SB0367	18165224	18165373	149	1	18.1652			
429	SB0369	18207565	18207774	209	1	18.2076			
430	Xiabtp300	18272802	18273023	221	1	18.2728	SSR segment included in SB0370	Overlap with SB0370	
431	SB0370	18272859	18273158	299	1	18.2729	2 SSRs including that detected by Xiabtp300	Overlap with Xiabtp300	
432	SB0371	18284414	18284610	196	1	18.2844			
433	SB0372	18374177	18374404	227	1	18.3742			
434	SB0373	18380436	18380703	267	1	18.3804			
435	SB0374	18483615	18483899	284	1	18.4836			
436	SB0375	18506097	18506379	282	1	18.5061			
437	SB0376	18507143	18507398	255	1	18.5071			
438	SB0377	18561072	18561366	294	1	18.5611			
439	SB0378	18562657	18562938	281	1	18.5627			
440	SB0379	18646056	18646242	186	1	18.6461			
441	SB0380	18648585	18648829	244	1	18.6486			
442	SB0381	18655559	18655744	185	1	18.6556			
443	SB0382	18702318	18702498	180	1	18.7023			
444	SB0383	18768709	18768879	170	1	18.7687			
445	Xisep1026	18787051	18787245	194	1	18.7871			
446	SRSC10_015	18807098	18807493	395	1	18.8071			
447	SB0384	18871635	18871933	298	1	18.8716			
448	SB0385	18880806	18881069	263	1	18.8808			
449	SB0386	18927259	18927433	174	1	18.9273			
450	SRSC10_019	18979919	18980371	452	1	18.9799			
451	SRSC10_006	19051137	19051305	168	1	19.0511			
452	SB0387	19076097	19076304	207	1	19.0761			
453	SB0388	19111873	19112116	243	1	19.1119			
454	SB0389	19139411	19139624	213	1	19.1394			
455	SB2613	19408772	19409062	290	1	19.4088			
456	Xisep1038	19724191	19724398	207	1	19.7242			
457	Xisep1025	19724847	19725048	201	1	19.7248			
458	SB0390	19794350	19794627	277	1	19.7944			
459	SB0391	19829638	19829935	297	1	19.8296			
460	SB5330	19928990	19929091	101	1	19.9290			
461	SB0392	20058757	20059050	293	1	20.0588			
462	SB0394	20105353	20105631	278	1	20.1054			
463	SRSC10_017	20188695	20189532	837	1	20.1887			
464	SB0395	20269918	20270213	295	1	20.2699			
465	SB0396	20314916	20315207	291	1	20.3149			
466	SB0397	20503989	20504224	235	1	20.5040			
467	SB0398	20520234	20520528	294	1	20.5202			
468	SB0399	20535951	20536270	319	1	20.5360			
469	SRSC10_011	20754696	20755558	862	1	20.7547			
470	SRSC10_024	20804119	20804411	292	1	20.8041			
471	SB0401	20867767	20868004	237	1	20.8678			
472	SB0402	20880999	20881234	235	1	20.8810			
473	SB0403	21001685	21001860	175	1	21.0017			
474	SB0404	21035648	21035891	243	1	21.0356			
475	SB0405	21369721	21369978	257	1	21.3697			
476	SB0406	21443985	21444193	208	1	21.4440			
477	Xiabtp328	21621682	21621844	162	1	21.6217	SSR segment included in SB0407	Overlap with SB0407	
478	SB0407	21621770	21621932	162	1	21.6218	2 SSRs including that detected by Xiabtp328	Overlap with Xiabtp328	
479	SB0408	21630701	21630975	274	1	21.6307			
480	SB0409	21636103	21636393	290	1	21.6361			
481	SB0410	21681319	21681536	217	1	21.6813			
482	>OsEhd1	21924617	21924701	84	1	21.9246			
483	SB0411	22008608	22008742	134	1	22.0086			
484	SB0412	22082170	22082345	175	1	22.0822			
485	SB0413	22323235	22323469	234	1	22.3232			
486	SB0414	22328229	22328506	277	1	22.3282			
487	Xisep1213	22334171	22334368	197	1	22.3342			
488	SB0415	22740766	22741051	285	1	22.7408			
489	SB0416	23330173	23330273	100	1	23.3302			
490	Xiabtp329	23806130	23806324	194	1	23.8061		Overlap with SB0417 and Xtxp357	Similar to Xtxp357
491	SB0417	23806149	23806328	179	1	23.8061		Overlap with Xiabtp329 and Xtxp357	Similar to Xiabtp329
492	Xtxp357	23806237	23806509	272	1	23.8062		Overlap with SB0417 and Xiabtp329	
493	SB0418	23905760	23906046	286	1	23.9058			
494	XmSbCIR243	24188649	24188755	106	1	24.1886			
495	SB0419	24243298	24243509	211	1	24.2433			
496	SB0420	24244019	24244267	248	1	24.2440			
497	SB0421	24350827	24350981	154	1	24.3508			
498	SB0423	24666526	24666825	299	1	24.6665			
499	SB0424	24721146	24721410	264	1	24.7211			
